"id","technicianId","inspectedAt","createdAt","deviceId","gateId","taskId","inspectionStatus","deviceCode","deviceName","serialNumber","ipAddress","gateCluster","gateBuilding","gateZone","gateDirection","issueReason","notes"
"4605","51","""2026-07-27T13:14:27.855Z""","""2026-07-27T13:14:27.855Z""","1535","","","OK","1411","Morpho md","2238smp0000636","10.254.210.43","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4606","51","""2026-07-27T13:15:04.313Z""","""2026-07-27T13:15:04.313Z""","1534","","","OK","1410","Morpho md","2111smp0002234","10.254.210.51","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4607","51","""2026-07-27T13:15:30.406Z""","""2026-07-27T13:15:30.406Z""","1533","","","OK","1409","Morpho md","2111smp0002418","10.254.210.40","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4608","51","""2026-07-27T13:16:00.211Z""","""2026-07-27T13:16:00.211Z""","1532","","","OK","1408","Morpho md","2143smp0000190","10.254.210.73","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4609","51","""2026-07-27T13:16:16.442Z""","""2026-07-27T13:16:16.442Z""","1531","","","OK","1407","Morpho md","21205smp0000575","10.254.210.75","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4610","51","""2026-07-27T13:16:50.484Z""","""2026-07-27T13:16:50.484Z""","655","","","OK","517","Morpho md","2125SMP0001308","10.254.210.201","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4611","51","""2026-07-27T13:17:48.956Z""","""2026-07-27T13:17:48.956Z""","656","","","OK","518","Morpho md","2111SMP0002265","10.254.210.6","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4612","51","""2026-07-27T13:18:19.861Z""","""2026-07-27T13:18:19.861Z""","657","","","OK","519","Morpho md","2124SMP0001200","10.254.210.8","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4613","51","""2026-07-27T13:18:40.576Z""","""2026-07-27T13:18:40.576Z""","658","","","OK","520","Morpho md","2111SMP0002272","10.254.210.17","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
"4614","51","""2026-07-27T13:18:58.847Z""","""2026-07-27T13:18:58.847Z""","659","","","OK","521","Morpho md","2111SMP0001727","10.254.210.44","","","","","","نوع الجهاز: Morpho md
حالة الجهاز في البداية: سليم
حالة الجهاز بعد الفحص: سليم
الحالة النهائية: good
Final Device Condition: OK"
